year,month,primary_sector,turnover_eur,num_taxpayers
2024.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,47817.05,9.0
2020.0,7.0,Industria perpunuese,494.92,1.0
2020.0,8.0,Akomodimi dhe sherbimi ushqimor,5397.54,2.0
2023.0,9.0,"Aktivitetet profesionale, shkencore dhe teknike",21718.64,7.0
2019.0,7.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,316150.2,2.0
2024.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,1552.97,1.0
2023.0,9.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,1.0
2019.0,3.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,6.0
2023.0,5.0,Industria perpunuese,0.0,1.0
2024.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,748982.82,3.0
2020.0,10.0,Industria perpunuese,8245.42,1.0
2020.0,8.0,Industria perpunuese,4407.64,2.0
2020.0,2.0,Transporti dhe magazinimi,0.0,1.0
2022.0,3.0,"Aktivitetet profesionale, shkencore dhe teknike",0.0,2.0
2019.0,12.0,Akomodimi dhe sherbimi ushqimor,163063.57,7.0
2025.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,12712.71,5.0
2019.0,6.0,Arsimi,10020.0,2.0
2023.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,1.0
2023.0,3.0,Aktivitetet e tjera sherbyese,25106.45,8.0
2023.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,331838.28,14.0
2020.0,2.0,"Aktivitetet profesionale, shkencore dhe teknike",444.0,1.0
2025.0,1.0,Sherbimet administrative dhe mbeshtetese,1432.2,1.0
2020.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,8857.23,2.0
2024.0,10.0,Industria nxjerrese,192340.68,1.0
2021.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,52652.91,3.0
2023.0,10.0,Industria perpunuese,87568.47,9.0
2021.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,7413.03,1.0
2021.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,65358.53,2.0
2023.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,3.0
2022.0,12.0,"Aktivitetet profesionale, shkencore dhe teknike",1266.0,1.0
2019.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,26530.38,2.0
2023.0,11.0,Aktivitetet e tjera sherbyese,1771.0,1.0
2021.0,8.0,Transporti dhe magazinimi,10097.1,1.0
2020.0,2.0,Ndertimtaria,11414.35,3.0
2019.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,42032.8,7.0
2024.0,4.0,Industria perpunuese,0.0,1.0
2024.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2780845.0,3.0
2020.0,7.0,Akomodimi dhe sherbimi ushqimor,5606.85,1.0
