year,month,municipality,turnover_eur,num_taxpayers
2023.0,2.0,PEJË,83974.58,1.0
2022.0,3.0,DRAGASH,18506.82,1.0
2025.0,4.0,KAMENICË,52670.48,1.0
2025.0,1.0,PEJË,15271.07,2.0
2022.0,2.0,PRISHTINË,2000.0,1.0
2022.0,3.0,GJILAN,0.0,2.0
2021.0,5.0,GJAKOVË,107950.37,2.0
2024.0,11.0,DEÇAN,45924.83,9.0
2020.0,10.0,LEPOSAVIQ,0.0,1.0
2024.0,5.0,LIPJAN,304116.72,6.0
2020.0,10.0,FUSHË KOSOVË,0.0,1.0
2023.0,8.0,PRISHTINË,1834.58,3.0
2025.0,10.0,LIPJAN,1951.05,1.0
2022.0,1.0,FERIZAJ,8022.08,1.0
2023.0,11.0,GLLOGOC,90495.05,1.0
2023.0,2.0,PRIZREN,154596.64,6.0
2024.0,3.0,GLLOGOC,49673.06,26.0
2019.0,5.0,KAÇANIK,0.0,2.0
2023.0,2.0,OBILIQ,38074.41,1.0
2019.0,7.0,KLINË,3101.7,1.0
2023.0,12.0,MITROVICË,7607.7,5.0
2022.0,7.0,FERIZAJ,21717.79,6.0
2020.0,12.0,KAÇANIK,95816.95,1.0
2024.0,5.0,SUHAREKË,0.0,1.0
2020.0,7.0,RAHOVEC,109191.08,8.0
2021.0,5.0,GRAÇANICË,17985.89,2.0
2025.0,6.0,HANI I ELEZIT,458.71,1.0
2020.0,12.0,OBILIQ,73970.65,1.0
2021.0,5.0,VITI,220103.13,2.0
2022.0,11.0,OBILIQ,78470.61,4.0
2021.0,12.0,GRAÇANICË,619201.07,1.0
2021.0,9.0,GJAKOVË,23580.82,13.0
2025.0,5.0,GRAÇANICË,1299651.79,1.0
2020.0,1.0,PRISHTINË,0.0,3.0
2025.0,5.0,PEJË,660372.62,21.0
2021.0,6.0,FUSHË KOSOVË,9579.86,2.0
2019.0,8.0,SUHAREKË,13124.13,2.0
2021.0,1.0,PRISHTINË,53498.11,6.0
2020.0,4.0,GRAÇANICË,56819.11,1.0
2023.0,1.0,SUHAREKË,17626.0,2.0
2022.0,8.0,FUSHË KOSOVË,16956.61,3.0
2022.0,5.0,SKENDERAJ,30084.75,3.0
2021.0,9.0,FERIZAJ,186522.1,7.0
2023.0,1.0,GJAKOVË,56711.8,5.0
2020.0,6.0,GJILAN,352502.55,9.0
2021.0,9.0,PEJË,17480.0,1.0
2022.0,9.0,FUSHË KOSOVË,1540.0,6.0
2020.0,11.0,SKENDERAJ,3329.91,1.0
2022.0,11.0,DRAGASH,450508.88,2.0
2022.0,2.0,GJAKOVË,3759.0,1.0
2021.0,8.0,LIPJAN,6587.74,1.0
2020.0,1.0,VUSHTRRI,171587.0,1.0
2019.0,10.0,GJAKOVË,0.0,1.0
2025.0,10.0,PRISHTINË,30073.4,1.0
2023.0,1.0,LIPJAN,34204.94,1.0
2022.0,4.0,SHTIME,0.0,2.0
2019.0,6.0,KAÇANIK,2503.0,1.0
2023.0,6.0,SHTIME,696.0,1.0
2024.0,1.0,FUSHË KOSOVË,97712.62,7.0
2023.0,5.0,DEÇAN,20956.71,2.0
2019.0,2.0,MITROVICË VERIORE,1096.57,2.0
2022.0,1.0,MITROVICË,32922.79,2.0
2019.0,12.0,KLINË,60529.1,3.0
2020.0,5.0,MITROVICË,159944.31,5.0
2020.0,9.0,LIPJAN,15887.06,5.0
2021.0,7.0,GJAKOVË,3925.0,1.0
2020.0,12.0,PRISHTINË,587350.77,201.0
2020.0,11.0,PRISHTINË,5168.5,1.0
2020.0,8.0,LIPJAN,4696.85,1.0
2024.0,7.0,PRIZREN,0.0,1.0
2019.0,7.0,LEPOSAVIQ,642.28,1.0
2021.0,8.0,KAMENICË,305787.13,2.0
2025.0,1.0,PRISHTINË,8802.73,2.0
2024.0,4.0,GJAKOVË,104004.92,8.0
2023.0,5.0,FERIZAJ,13481.26,1.0
2024.0,6.0,VITI,700.0,2.0
2022.0,7.0,SUHAREKË,0.0,1.0
2023.0,8.0,SHTIME,69462.38,4.0
2023.0,5.0,MITROVICË,19836.82,3.0
2022.0,12.0,DEÇAN,0.0,1.0
2019.0,5.0,PEJË,5929.83,1.0
2023.0,7.0,LIPJAN,0.0,4.0
2023.0,4.0,KAÇANIK,0.0,1.0
2022.0,3.0,PRISHTINË,35848.31,3.0
2025.0,4.0,DRAGASH,1016.95,1.0
2025.0,5.0,KAÇANIK,917.91,1.0
2020.0,9.0,OBILIQ,7008.64,2.0
2020.0,5.0,GRAÇANICË,4951813.86,2.0
2024.0,7.0,FERIZAJ,-680.0,1.0
2024.0,12.0,KAÇANIK,2397.0,1.0
2020.0,9.0,PRISHTINË,1035429.69,31.0
2022.0,1.0,GJILAN,15025.76,2.0
2020.0,3.0,PRIZREN,6182.69,4.0
2021.0,3.0,GJILAN,2158653.67,3.0
2020.0,4.0,PRISHTINË,2133313.56,1.0
2023.0,9.0,MALISHEVË,7940.9,1.0
2021.0,9.0,SHTËRPCË,0.0,1.0
2023.0,2.0,GJILAN,216232.6,1.0
2020.0,9.0,KAMENICË,0.0,1.0
2025.0,6.0,DRAGASH,1825.0,2.0
2025.0,5.0,KLINË,91000.0,1.0
2023.0,6.0,PARTESH,2200.0,1.0
2024.0,4.0,PRISHTINË,1302941.6,55.0
2025.0,8.0,FUSHË KOSOVË,244733.03,7.0
2020.0,5.0,PRIZREN,16026.09,2.0
2023.0,5.0,KLINË,12.71,2.0
2022.0,5.0,KAMENICË,8110.66,2.0
2019.0,5.0,SHTIME,13639.62,3.0
2019.0,7.0,GJILAN,5025.25,1.0
2022.0,2.0,KAMENICË,18004.79,1.0
2019.0,3.0,GRAÇANICË,25848.21,1.0
2023.0,12.0,RAHOVEC,48517.66,4.0
2022.0,4.0,SUHAREKË,7002.37,2.0
2021.0,7.0,PRISHTINË,33292.95,1.0
2021.0,7.0,FERIZAJ,17568.97,2.0
2020.0,6.0,KLINË,3389.85,1.0
2020.0,2.0,GJILAN,994.91,2.0
2022.0,4.0,LIPJAN,19034.94,1.0
2023.0,10.0,DEÇAN,154.24,4.0
2022.0,5.0,PRIZREN,2566.95,1.0
2021.0,1.0,SUHAREKË,92407.08,6.0
2023.0,9.0,GJILAN,32924.57,16.0
2019.0,6.0,PODUJEVË,9121.06,3.0
2019.0,6.0,PRISHTINË,863612.98,3.0
2022.0,1.0,PEJË,0.0,2.0
2019.0,6.0,PRIZREN,23586.0,2.0
2021.0,7.0,GJILAN,1677.87,1.0
2025.0,8.0,PODUJEVË,105703.0,3.0
2022.0,7.0,PRISHTINË,10115.34,1.0
2025.0,11.0,ZVEÇAN,2686.65,1.0
2025.0,4.0,GJILAN,47191.22,3.0
2023.0,3.0,PODUJEVË,7879.55,8.0
2021.0,6.0,MITROVICË,243396.09,1.0
2022.0,2.0,PRISHTINË,0.0,1.0
2025.0,4.0,PRISHTINË,82448.21,10.0
2025.0,3.0,FUSHË KOSOVË,5339.72,12.0
2020.0,12.0,SUHAREKË,40580.99,22.0
2020.0,2.0,DEÇAN,5241.54,1.0
2021.0,8.0,MALISHEVË,0.0,1.0
2022.0,5.0,MITROVICË,1037.61,1.0
2019.0,1.0,KAMENICË,10765.08,3.0
2020.0,9.0,PRIZREN,611631.57,15.0
2022.0,10.0,SUHAREKË,0.0,1.0
2021.0,4.0,DRAGASH,2664.19,1.0
2025.0,12.0,GLLOGOC,0.0,1.0
2025.0,1.0,GJILAN,12382.4,3.0
2025.0,2.0,VITI,0.0,1.0
2019.0,7.0,MITROVICË,8381.36,1.0
2022.0,1.0,PRIZREN,508.47,1.0
2022.0,6.0,KAMENICË,4175.0,3.0
2019.0,5.0,MITROVICË VERIORE,0.0,1.0
2020.0,7.0,PRIZREN,4633.79,3.0
2025.0,2.0,GJAKOVË,25424.53,5.0
2020.0,4.0,SHTËRPCË,11960.45,1.0
2020.0,3.0,DRAGASH,1721.0,1.0
2019.0,10.0,MALISHEVË,47798.0,7.0
2025.0,7.0,PRISHTINË,263577.36,21.0
2021.0,1.0,PRISHTINË,295457.41,3.0
2019.0,8.0,GRAÇANICË,2113.81,1.0
2023.0,8.0,FUSHË KOSOVË,83419.83,2.0
2020.0,5.0,VUSHTRRI,3692.14,2.0
2025.0,9.0,PODUJEVË,0.0,2.0
2019.0,1.0,GRAÇANICË,0.0,1.0
2021.0,7.0,PRISHTINË,15983.05,2.0
2024.0,1.0,OBILIQ,5738.85,2.0
2021.0,3.0,GLLOGOC,1646.0,3.0
2024.0,8.0,PRISHTINË,16128.84,7.0
2021.0,8.0,RAHOVEC,0.0,1.0
2025.0,9.0,PEJË,0.0,2.0
2019.0,10.0,OBILIQ,1473598.49,1.0
2021.0,11.0,HANI I ELEZIT,1217.97,1.0
2025.0,6.0,MITROVICË VERIORE,20876.86,8.0
2022.0,1.0,DEÇAN,46021.23,1.0
2019.0,12.0,PRIZREN,243.22,1.0
2025.0,10.0,DEÇAN,276479.88,18.0
