year,month,primary_sector,municipality,registration_status,num_taxpayers,turnover_eur,invalid_reason,year_was_imputed,month_was_imputed,num_taxpayers_was_imputed,turnover_eur_was_imputed,primary_sector_was_imputed,municipality_was_imputed,registration_status_was_imputed,year_month,turnover_eur_log1p
2020.0,8.0,Industria perpunuese,PEJË,INDIVIDUAL,1.0,394.07,,False,False,False,False,False,False,False,2020-08,5.979062964390239
2025.0,10.0,Sherbimet administrative dhe mbeshtetese,PEJË,INDIVIDUAL,1.0,6153.85,,False,False,False,False,False,False,False,2025-10,8.724995667891045
2020.0,7.0,Ndertimtaria,FUSHË KOSOVË,INDIVIDUAL,11.0,65412.96,,False,False,False,False,False,False,False,2020-07,11.088490970324363
2024.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GJAKOVË,INDIVIDUAL,1.0,665.75,,False,False,False,False,False,False,False,2024-05,6.502415163062124
2025.0,3.0,Aktivitetet e tjera sherbyese,OBILIQ,INDIVIDUAL,1.0,395.0,,False,False,False,False,False,False,False,2025-03,5.981414211254481
2023.0,1.0,Industria perpunuese,PRIZREN,INDIVIDUAL,3.0,1551.26,,False,False,False,False,False,False,False,2023-01,7.347467212485484
2020.0,7.0,Bujqesia;Pylltaria dhe Peshkimi,FERIZAJ,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2020-07,0.0
2021.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,INDIVIDUAL,4.0,118025.1,,False,False,False,False,False,False,False,2021-02,11.678661065430363
2025.0,3.0,Transporti dhe magazinimi,RAHOVEC,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2025-03,0.0
2023.0,12.0,Informimi dhe komunikimi,PRISHTINË,KONSORCIUM,1.0,0.0,,False,False,False,False,False,False,False,2023-12,0.0
2020.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PEJË,SH.P.K.,1.0,7485.89,,False,False,False,False,False,False,False,2020-05,8.920908769989724
2024.0,6.0,Sherbimet administrative dhe mbeshtetese,SHTIME,SH.P.K.,2.0,0.0,,False,False,False,False,False,False,False,2024-06,0.0
2021.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,MALISHEVË,INDIVIDUAL,5.0,25635.0,,False,False,False,False,False,False,False,2021-04,10.151752892624115
2023.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GRAÇANICË,SH.P.K.,2.0,92186.8,,False,False,False,False,False,False,False,2023-04,11.43158307974827
2023.0,5.0,Ndertimtaria,GLLOGOC,INDIVIDUAL,3.0,44912.44,,False,False,False,False,False,False,False,2023-05,10.712492360788058
2025.0,3.0,Informimi dhe komunikimi,MITROVICË,SH.P.K.,8.0,93968.77,,False,False,False,False,False,False,False,2025-03,11.45072841378446
2024.0,11.0,Industria perpunuese,RAHOVEC,SH.P.K.,2.0,15582.01,,False,False,False,False,False,False,False,2024-11,9.653936497170363
2025.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,MAMUSHË,SH.P.K.,1.0,46864.41,,False,False,False,False,False,False,False,2025-12,10.75503515567534
2024.0,11.0,Industria perpunuese,GJAKOVË,SH.P.K.,2.0,25539.13,,False,False,False,False,False,False,False,2024-11,10.148006219628392
2019.0,1.0,"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",GJAKOVË,SHOQËRI AKCIONARE,1.0,93403.72,,False,False,False,False,False,False,False,2019-01,11.444697158271971
