year,month,registration_status,turnover_eur,num_taxpayers
2024.0,6.0,INDIVIDUAL,18498.81,6.0
2020.0,6.0,INDIVIDUAL,0.0,2.0
2022.0,8.0,INDIVIDUAL,5971.42,3.0
2020.0,5.0,KOMPANI E HUAJ,0.0,2.0
2022.0,12.0,ORTAKËRIA E PËRGJ.,53208.29,1.0
2022.0,3.0,SH.P.K.,31943.52,2.0
2025.0,8.0,SH.P.K.,50791.03,1.0
2024.0,8.0,SH.P.K.,1691.04,1.0
2024.0,11.0,SH.P.K.,31231.27,1.0
2024.0,9.0,INDIVIDUAL,4576.5,1.0
2020.0,8.0,SH.P.K.,7293.55,1.0
2021.0,12.0,INDIVIDUAL,10251.65,2.0
2023.0,6.0,SH.P.K.,0.0,1.0
2019.0,6.0,TJETER,0.0,2.0
2020.0,4.0,SH.P.K.,17923.73,3.0
2022.0,7.0,SH.P.K.,51277.27,8.0
2020.0,11.0,SH.P.K.,32984.61,4.0
2019.0,9.0,SH.P.K.,0.0,2.0
2024.0,11.0,INDIVIDUAL,42201.43,2.0
2022.0,9.0,INDIVIDUAL,7757.2,1.0
2024.0,8.0,SH.P.K.,25425.45,2.0
2021.0,2.0,KOMPANI E HUAJ,0.0,1.0
2024.0,1.0,INDIVIDUAL,49171.89,4.0
2022.0,2.0,INDIVIDUAL,3403746.83,46.0
2025.0,12.0,INDIVIDUAL,26215.08,5.0
2024.0,1.0,SH.P.K.,1560.0,1.0
2020.0,11.0,SH.P.K.,0.0,1.0
2021.0,4.0,INDIVIDUAL,30797.22,4.0
2019.0,6.0,INDIVIDUAL,12823.75,8.0
2024.0,1.0,SH.P.K.,131881.46,2.0
2019.0,10.0,SH.P.K.,0.0,2.0
2022.0,2.0,INDIVIDUAL,985.0,2.0
2022.0,11.0,INDIVIDUAL,0.0,1.0
2024.0,5.0,SH.P.K.,70621.43,4.0
2019.0,5.0,INDIVIDUAL,733.49,3.0
2019.0,10.0,ORTAKËRIA E PËRGJ.,1824.58,1.0
2023.0,2.0,SH.P.K.,63791.7,1.0
2021.0,2.0,SH.P.K.,0.0,1.0
2021.0,1.0,SH.P.K.,102589.14,2.0
2019.0,10.0,ORTAKËRIA E PËRGJ.,10418.92,2.0
2024.0,2.0,SH.P.K.,711.36,1.0
2025.0,1.0,SHOQËRI AKCIONARE,81817.76,1.0
2020.0,3.0,INDIVIDUAL,46153.3,2.0
2021.0,12.0,INDIVIDUAL,105207.86,19.0
2020.0,6.0,INDIVIDUAL,2927.37,2.0
2025.0,10.0,SH.P.K.,15692.54,2.0
2021.0,10.0,INDIVIDUAL,23714.96,4.0
2020.0,12.0,INDIVIDUAL,0.0,2.0
2024.0,11.0,SH.P.K.,0.0,1.0
2022.0,7.0,INDIVIDUAL,0.0,1.0
2022.0,10.0,SH.P.K.,0.0,1.0
2023.0,6.0,SH.P.K.,0.0,1.0
2022.0,2.0,SH.P.K.,0.0,1.0
2022.0,4.0,INDIVIDUAL,4083.32,1.0
2024.0,4.0,SH.P.K.,22689.28,3.0
2021.0,8.0,SH.P.K.,42864.62,2.0
2022.0,5.0,SH.P.K.,1765.9,2.0
2023.0,5.0,SH.P.K.,45602.5,1.0
2022.0,8.0,INDIVIDUAL,22775.95,1.0
2023.0,11.0,SH.P.K.,21186.44,2.0
2020.0,8.0,INDIVIDUAL,0.0,2.0
2019.0,3.0,SH.P.K.,481.0,3.0
2019.0,3.0,INDIVIDUAL,0.0,1.0
